Label,Brand,Name,Price,Rank,Ingredients,Combination,Dry,Normal,Oily,Sensitive
Sunscreen,Elizabeth Arden,Mineral UV Defense Milk,31,4.2,100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.,0,0,1,1,0
Treatment,Origins,Advanced Blemish Treatment,217,0.0,"Water, Glycerin, Caprylic/ Capric Triglyceride, Isopropyl Isostearate, Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal",0,0,1,1,1
Sunscreen,COSRX,Sensitive UV Defense Milk,278,0.4,"Water, Snail Secretion Filtrate, Phenyl Trimethicone, Dimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Orbignya Oleifera Seed Oil",0,1,1,0,1
Sunscreen,Neutrogena,Radiance Sunscreen SPF 50,85,4.9,"Water, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract",1,0,1,1,0
Eye Cream,The Ordinary,Active Anti-Aging Eye Cream,265,0.1,"Water, Snail Secretion Filtrate, Phenyl Trimethicone, Dimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Orbignya Oleifera Seed Oil",0,1,1,1,0
Exfoliator,Elemis,Active Daily Microfoliant,297,0.6,"Water, Sodium Lauroyl Methyl Isethionate, Glycerin, Cocamidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate",0,1,1,1,1
Serum,Lancôme,Pure Radiance Glow Serum,283,4.2,"Water, Sodium Lauroyl Methyl Isethionate, Glycerin, Cocamidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate",1,0,1,1,0
Cleanser,Bioderma,Active Gentle Wash,37,0.7,"Water, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract",0,0,1,1,1
Serum,Garnier,Daily Vitamin C Booster,145,0.9,"Water, Snail Secretion Filtrate, Phenyl Trimethicone, Dimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Orbignya Oleifera Seed Oil",1,1,1,1,1
Serum,Pai Skincare,Radiance Radiance Glow Serum,40,2.9,"Water, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract",0,0,0,1,1
Treatment,Medik8,Advanced Retinol Complex,56,1.1,"Algae (Seaweed) Extract,Mineral Oil,Petrolatum,Glycerin,Isohexadecane,Microcrystalline Wax,Lanolin Alcohol,Citrus Aurantifolia (Lime) Extract,Sesamum Indicum (Sesame) Seed Oil,Eucalyptus Globulus (Eucalyptus) Leaf Oil",0,1,1,0,1
Exfoliator,NUXE,Radiance Enzyme Peel,264,1.3,"Water, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*, Dimethicone, Propanediol, Glycerin",1,1,0,1,1
Toner,The Ordinary,Pro Soothing Mist,53,1.4,Caprylic/Capric Triglyceride Dicaprylyl Carbonate Squalane Rosa Canina Fruit Oil Oenothera Biennis Oil,0,0,0,0,0
Serum,NUXE,Pro Radiance Glow Serum,269,2.4,"Water, Sodium Lauroyl Methyl Isethionate, Glycerin, Cocamidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate",1,0,1,1,1
Toner,CeraVe,Advanced Exfoliating Toner,180,1.8,"Water, Lactic Acid, Propanediol, Jojoba Esters, Glycolic Acid, Potassium Hydroxide, Salix Alba (Willow) Bark Extract",0,1,0,1,0
Sunscreen,NUXE,Daily Mineral Sunscreen,249,1.2,"Water, Snail Secretion Filtrate, Phenyl Trimethicone, Dimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Orbignya Oleifera Seed Oil",0,0,0,1,1
Cleanser,Elizabeth Arden,Radiance Gentle Wash,126,4.8,"Water , Dicaprylyl Carbonate , Glycerin , Cetearyl Alcohol , Cetearyl Olivate , Sorbitan Olivate , Sclerocarya Birrea Seed Oil , Bacillus/Soybean/ Folic Acid Ferment Extract",0,0,0,1,0
Serum,PIXI,Radiance Radiance Glow Serum,41,2.0,"Water, Glycerin, Caprylic/ Capric Triglyceride, Isopropyl Isostearate, Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal",0,0,1,1,1
Eye Cream,Dermalogica,Ultra Revitalizing Eye Gel,97,2.4,"Water, Lactic Acid, Propanediol, Jojoba Esters, Glycolic Acid, Potassium Hydroxide, Salix Alba (Willow) Bark Extract",1,0,1,0,0
Treatment,REN Clean Skincare,Deep Retinol Complex,292,4.9,"Algae (Seaweed) Extract , Mineral Oil , Petrolatum , Glycerin , Isohexadecane , Microcrystalline Wax , Lanolin Alcohol , Citrus Aurantifolia (Lime) Extract , Sesamum Indicum (Sesame) Seed Oil , Eucalyptus Globulus (Eucalyptus) Leaf Oil",1,0,0,1,1
Toner,The INKEY List,Advanced Soothing Mist,43,3.8,"Galactomyces Ferment Filtrate (Pitera),Butylene Glycol,Pentylene Glycol,Water,Sodium Benzoate,Methylparaben,Sorbic Acid.",1,1,0,1,1
Face Mask,Weleda,Radiance Peel-off Mask,71,3.7,Caprylic/Capric Triglyceride Dicaprylyl Carbonate Squalane Rosa Canina Fruit Oil Oenothera Biennis Oil,0,1,0,1,0
Face Mask,The INKEY List,Ultra Peel-off Mask,188,2.5,"Galactomyces Ferment Filtrate (Pitera), Butylene Glycol, Pentylene Glycol, Water, Sodium Benzoate, Methylparaben, Sorbic Acid.",0,1,0,0,1
Exfoliator,Elemis,Intense AHA/BHA Solution,229,0.8,"Galactomyces Ferment Filtrate (Pitera), Butylene Glycol, Pentylene Glycol, Water, Sodium Benzoate, Methylparaben, Sorbic Acid.",0,1,1,0,0
Sunscreen,COSRX,Pro Solar Fluid,180,2.8,Caprylic/Capric Triglyceride Dicaprylyl Carbonate Squalane Rosa Canina Fruit Oil Oenothera Biennis Oil,1,1,1,0,1
Face Mask,VICHY,Pro Peel-off Mask,113,3.1,"Water, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract",1,0,1,1,1
Toner,COSRX,Ultra Hydrating Essence,200,4.8,100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.,1,0,1,0,0
Exfoliator,Medik8,Deep Exfoliating Scrub,211,3.2,Caprylic/Capric Triglyceride Dicaprylyl Carbonate Squalane Rosa Canina Fruit Oil Oenothera Biennis Oil,0,1,0,0,0
Night Cream,Lancôme,Ultra Restorative Night Cream,218,2.9,"Water, Glycerin, Caprylic/ Capric Triglyceride, Isopropyl Isostearate, Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal",0,1,0,1,1
Moisturizer,Natio,Mineral Hydrating Lotion,183,1.7,"Water, Lactic Acid, Propanediol, Jojoba Esters, Glycolic Acid, Potassium Hydroxide, Salix Alba (Willow) Bark Extract",1,0,0,0,0
Toner,Elemis,Daily Pore Refining Toner,22,3.3,"Water, Lactic Acid, Propanediol, Jojoba Esters, Glycolic Acid, Potassium Hydroxide, Salix Alba (Willow) Bark Extract",0,0,0,1,1
Face Mask,Garnier,Advanced Sheet Mask,153,1.5,"Water, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract",1,0,1,1,1
Eye Cream,Caudalie,Pro Revitalizing Eye Gel,184,3.2,"Water, Sodium Lauroyl Methyl Isethionate, Glycerin, Cocamidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate",0,1,0,0,1
Cleanser,Sukin,Pure Gentle Wash,110,1.9,"Water, Lactic Acid, Propanediol, Jojoba Esters, Glycolic Acid, Potassium Hydroxide, Salix Alba (Willow) Bark Extract.",0,0,0,1,0
Sunscreen,First Aid Beauty,Mineral Solar Fluid,288,3.1,"Water, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract",0,0,1,1,0
Toner,VICHY,Active Soothing Mist,245,1.3,"Water, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract",0,1,1,0,0
Serum,L'Oréal,Radiance Active Essence,193,3.2,"Water, Glycerin, Caprylic/ Capric Triglyceride, Isopropyl Isostearate, Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal",1,0,1,0,1
Serum,AHAVA,Ultra Vitamin C Booster,56,0.4,"Water, Glycerin, Caprylic/ Capric Triglyceride, Isopropyl Isostearate, Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal",1,1,1,1,1
Exfoliator,Avène,Active Daily Microfoliant,267,3.1,Caprylic/Capric Triglyceride Dicaprylyl Carbonate Squalane Rosa Canina Fruit Oil Oenothera Biennis Oil,1,0,0,0,0
Exfoliator,The INKEY List,Mineral Enzyme Peel,249,2.7,"Water, Sodium Lauroyl Methyl Isethionate, Glycerin, Cocamidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate",1,0,1,1,1
Toner,PIXI,Advanced Pore Refining Toner,162,1.3,"Water, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*, Dimethicone, Propanediol, Glycerin",0,1,0,1,1
Toner,The Ordinary,Sensitive Hydrating Essence,211,0.9,100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.,0,1,1,0,0
Cleanser,Elemis,Intense Gentle Wash,45,3.3,"Water, Sodium Lauroyl Methyl Isethionate, Glycerin, Cocamidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate",0,0,1,0,0
Night Cream,Weleda,Intense Night Recovery Balm,213,0.1,"Water, Lactic Acid, Propanediol, Jojoba Esters, Glycolic Acid, Potassium Hydroxide, Salix Alba (Willow) Bark Extract",0,0,1,0,0
Moisturizer,REN Clean Skincare,Mineral Hydrating Lotion,45,0.8,"Water, Snail Secretion Filtrate, Phenyl Trimethicone, Dimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Orbignya Oleifera Seed Oil",1,1,1,0,1
Cleanser,Lancôme,Ultra Foaming Cleanser,15,4.0,"Water,Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*,Dimethicone,Propanediol,Glycerin",0,0,1,1,1
Face Mask,Neutrogena,Deep Sheet Mask,259,1.1,"Galactomyces Ferment Filtrate (Pitera), Butylene Glycol, Pentylene Glycol, Water, Sodium Benzoate, Methylparaben, Sorbic Acid.",1,1,0,1,1
Serum,COSRX,Sensitive Hyaluronic Acid Serum,211,3.2,"Water, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*, Dimethicone, Propanediol, Glycerin",0,0,1,0,1
Night Cream,VICHY,Radiance Restorative Night Cream,220,0.5,"Water, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*, Dimethicone, Propanediol, Glycerin",0,1,1,0,0
Face Mask,Elizabeth Arden,Ultra Peel-off Mask,123,4.5,"Algae (Seaweed) Extract, Mineral Oil, Petrolatum, Glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract, Sesamum Indicum (Sesame) Seed Oil, Eucalyptus Globulus (Eucalyptus) Leaf Oil",0,0,0,1,0
Sunscreen,Elemis,Ultra Mineral Sunscreen,85,3.2,"Water, Glycerin, Caprylic/ Capric Triglyceride, Isopropyl Isostearate, Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal",0,0,0,0,0
Night Cream,The Ordinary,Radiance Restorative Night Cream,288,4.9,"Water,Glycerin,Caprylic/ Capric Triglyceride,Isopropyl Isostearate,Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal",0,0,0,1,1
Sunscreen,First Aid Beauty,Sensitive UV Defense Milk,20,0.6,"Water,Snail Secretion Filtrate,Phenyl Trimethicone,Dimethicone,Butylene Glycol,Butylene Glycol Dicaprylate/Dicaprate,Orbignya Oleifera Seed Oil",0,1,1,1,0
Treatment,VICHY,Radiance Repairing Serum,180,2.8,"Water, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*, Dimethicone, Propanediol, Glycerin",1,0,0,1,1
Cleanser,Sukin,Intense Purifying Gel,35,2.7,"Water,Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*,Dimethicone,Propanediol,Glycerin",0,0,0,1,1
Treatment,Estée Lauder,Ultra Repairing Serum,210,3.1,"Water, Snail Secretion Filtrate, Phenyl Trimethicone, Dimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Orbignya Oleifera Seed Oil",1,1,0,1,1
Treatment,La Roche-Posay,Radiance Repairing Serum,184,0.6,"Water, Snail Secretion Filtrate, Phenyl Trimethicone, Dimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Orbignya Oleifera Seed Oil",1,0,1,1,0
Serum,Sukin,Sensitive Radiance Glow Serum,190,4.7,"Water, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*, Dimethicone, Propanediol, Glycerin",0,1,1,0,0
Exfoliator,Sukin,Active Exfoliating Scrub,211,4.5,100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.,0,1,0,0,0
Treatment,AHAVA,Radiance Blemish Treatment,21,4.2,"Algae (Seaweed) Extract, Mineral Oil, Petrolatum, Glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract, Sesamum Indicum (Sesame) Seed Oil, Eucalyptus Globulus (Eucalyptus) Leaf Oil",1,0,1,1,1
Night Cream,REN Clean Skincare,Active Deep Sleep Cream,277,0.2,100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.,0,0,0,1,1
Moisturizer,VICHY,Deep Water Cream,50,3.1,100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.,1,1,0,0,1
Eye Cream,Caudalie,Advanced Dark Circle Corrector,32,2.5,"Water, Snail Secretion Filtrate, Phenyl Trimethicone, Dimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Orbignya Oleifera Seed Oil",0,0,0,0,0
Toner,Estée Lauder,Pro Soothing Mist,156,4.6,"Algae (Seaweed) Extract, Mineral Oil, Petrolatum, Glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract, Sesamum Indicum (Sesame) Seed Oil, Eucalyptus Globulus (Eucalyptus) Leaf Oil",1,1,0,1,1
Cleanser,Pai Skincare,Ultra Foaming Cleanser,283,0.7,"Algae (Seaweed) Extract, Mineral Oil, Petrolatum, Glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract, Sesamum Indicum (Sesame) Seed Oil, Eucalyptus Globulus (Eucalyptus) Leaf Oil",0,1,0,0,1
Night Cream,OSKIA,Deep Night Recovery Balm,20,0.8,"Water, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract",0,0,1,1,1
Moisturizer,Lancôme,Intense Moisturizing Cream,192,0.5,"Water, Glycerin, Caprylic/ Capric Triglyceride, Isopropyl Isostearate, Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal",0,1,1,1,0
Face Mask,Weleda,Advanced Clay Mask,153,1.4,"Algae (Seaweed) Extract, Mineral Oil, Petrolatum, Glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract, Sesamum Indicum (Sesame) Seed Oil, Eucalyptus Globulus (Eucalyptus) Leaf Oil",1,0,0,1,1
Night Cream,The INKEY List,Radiance Deep Sleep Cream,210,3.9,"Water, Lactic Acid, Propanediol, Jojoba Esters, Glycolic Acid, Potassium Hydroxide, Salix Alba (Willow) Bark Extract",1,1,1,0,0
Face Mask,NUXE,Sensitive Clay Mask,93,3.7,"Algae (Seaweed) Extract, Mineral Oil, Petrolatum, Glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract, Sesamum Indicum (Sesame) Seed Oil, Eucalyptus Globulus (Eucalyptus) Leaf Oil",1,1,1,0,1
Treatment,Medik8,Pro Repairing Serum,284,1.7,"Water, Snail Secretion Filtrate, Phenyl Trimethicone, Dimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Orbignya Oleifera Seed Oil",1,0,0,1,1
Toner,Elemis,Mineral Pore Refining Toner,21,4.2,"Galactomyces Ferment Filtrate (Pitera), Butylene Glycol, Pentylene Glycol, Water, Sodium Benzoate, Methylparaben, Sorbic Acid.",0,1,0,1,1
Cleanser,La Roche-Posay,Radiance Gentle Wash,55,0.3,Caprylic/Capric Triglyceride Dicaprylyl Carbonate Squalane Rosa Canina Fruit Oil Oenothera Biennis Oil.,0,1,0,0,0
Sunscreen,Elemis,Radiance Sunscreen SPF 50,188,0.5,"Water, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract",1,0,1,0,0
Night Cream,La Roche-Posay,Pro Restorative Night Cream,81,3.3,"Water, Sodium Lauroyl Methyl Isethionate, Glycerin, Cocamidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate",0,0,0,1,1
Eye Cream,Bioderma,Deep Dark Circle Corrector,72,3.7,"Water, Glycerin, Caprylic/ Capric Triglyceride, Isopropyl Isostearate, Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal",0,1,0,0,1
Night Cream,First Aid Beauty,Ultra Deep Sleep Cream,149,3.5,"Water, Lactic Acid, Propanediol, Jojoba Esters, Glycolic Acid, Potassium Hydroxide, Salix Alba (Willow) Bark Extract",1,0,1,1,0
Treatment,NUXE,Deep Repairing Serum,15,3.8,"Algae (Seaweed) Extract, Mineral Oil, Petrolatum, Glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract, Sesamum Indicum (Sesame) Seed Oil, Eucalyptus Globulus (Eucalyptus) Leaf Oil",0,1,0,0,0
Cleanser,Weleda,Mineral Micellar Water,207,2.9,"Water, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*, Dimethicone, Propanediol, Glycerin",1,1,1,1,1
Sunscreen,PIXI,Advanced Solar Fluid,236,3.7,"Water, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract *.",1,0,1,1,1
Sunscreen,L'Oréal,Mineral Solar Fluid,162,1.5,Caprylic/Capric Triglyceride Dicaprylyl Carbonate Squalane Rosa Canina Fruit Oil Oenothera Biennis Oil,0,1,0,0,1
Treatment,OSKIA,Intense Repairing Serum,137,3.0,Caprylic/Capric Triglyceride Dicaprylyl Carbonate Squalane Rosa Canina Fruit Oil Oenothera Biennis Oil,0,1,1,0,0
Eye Cream,REN Clean Skincare,Active Anti-Aging Eye Cream,221,3.0,100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.,1,0,0,0,0
Treatment,L'Oréal,Pro Retinol Complex,212,4.2,"Water, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract",1,1,1,0,0
Toner,Bulldog,Sensitive Soothing Mist,272,2.6,100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.,1,1,0,1,1
Moisturizer,Origins,Pro Hydrating Lotion,208,2.4,Caprylic/Capric Triglyceride Dicaprylyl Carbonate Squalane Rosa Canina Fruit Oil Oenothera Biennis Oil,1,1,0,1,1
Night Cream,Clinique,Active Night Recovery Balm,28,2.1,"Algae (Seaweed) Extract, Mineral Oil, Petrolatum, Glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract, Sesamum Indicum (Sesame) Seed Oil, Eucalyptus Globulus (Eucalyptus) Leaf Oil",0,0,0,0,1
Treatment,Clinique,Pure Salicylic Acid Solution,90,4.0,"Water, Lactic Acid, Propanediol, Jojoba Esters, Glycolic Acid, Potassium Hydroxide, Salix Alba (Willow) Bark Extract",1,1,0,0,1
Serum,L'Oréal,Advanced Hyaluronic Acid Serum,252,0.2,"Water, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract",0,1,1,1,0
Eye Cream,L'Oréal,Sensitive Revitalizing Eye Gel,37,4.3,100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.,0,0,0,1,0
Face Mask,The Ordinary,Radiance Hydrating Overnight Mask,161,0.1,"Water, Sodium Lauroyl Methyl Isethionate, Glycerin, Cocamidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate",0,0,0,1,0
Serum,REN Clean Skincare,Advanced Active Essence,200,1.7,"Water, Sodium Lauroyl Methyl Isethionate, Glycerin, Cocamidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate",1,1,0,1,0
Eye Cream,AHAVA,Ultra Anti-Aging Eye Cream,147,0.5,"Water, Sodium Lauroyl Methyl Isethionate, Glycerin, Cocamidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate",0,1,0,1,1
Exfoliator,PIXI,Deep Exfoliating Scrub,72,1.9,"Algae (Seaweed) Extract , Mineral Oil , Petrolatum , Glycerin , Isohexadecane , Microcrystalline Wax , Lanolin Alcohol , Citrus Aurantifolia (Lime) Extract , Sesamum Indicum (Sesame) Seed Oil , Eucalyptus Globulus (Eucalyptus) Leaf Oil",1,1,0,1,0
Toner,Weleda,Deep Exfoliating Toner,240,4.9,"Galactomyces Ferment Filtrate (Pitera), Butylene Glycol, Pentylene Glycol, Water, Sodium Benzoate, Methylparaben, Sorbic Acid.",0,1,0,0,1
Eye Cream,NUXE,Advanced Anti-Aging Eye Cream,36,1.0,"Water, Sodium Lauroyl Methyl Isethionate, Glycerin, Cocamidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate",0,0,0,0,1
Toner,Bulldog,Pure Exfoliating Toner,53,4.1,"Water, Lactic Acid, Propanediol, Jojoba Esters, Glycolic Acid, Potassium Hydroxide, Salix Alba (Willow) Bark Extract",1,0,0,1,0
Sunscreen,COSRX,Ultra Solar Fluid,165,1.5,Caprylic/Capric Triglyceride Dicaprylyl Carbonate Squalane Rosa Canina Fruit Oil Oenothera Biennis Oil,1,1,0,0,1
Toner,Medik8,Ultra Exfoliating Toner,50,1.6,"Water, Glycerin, Caprylic/ Capric Triglyceride, Isopropyl Isostearate, Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal",0,1,1,1,1
Treatment,L'Oréal,Sensitive Salicylic Acid Solution,29,0.9,"Algae (Seaweed) Extract,Mineral Oil,Petrolatum,Glycerin,Isohexadecane,Microcrystalline Wax,Lanolin Alcohol,Citrus Aurantifolia (Lime) Extract,Sesamum Indicum (Sesame) Seed Oil,Eucalyptus Globulus (Eucalyptus) Leaf Oil",1,1,0,1,1
Cleanser,Estée Lauder,Ultra Micellar Water,209,1.8,"Water, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract",0,0,1,1,1
Cleanser,Pai Skincare,Active Purifying Gel,82,4.5,"Water, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*, Dimethicone, Propanediol, Glycerin",0,0,1,1,0
Face Mask,REN Clean Skincare,Deep Peel-off Mask,31,0.5,"Water, Snail Secretion Filtrate, Phenyl Trimethicone, Dimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Orbignya Oleifera Seed Oil",0,0,0,1,1
Eye Cream,Murad,Active Dark Circle Corrector,234,2.0,Caprylic/Capric Triglyceride Dicaprylyl Carbonate Squalane Rosa Canina Fruit Oil Oenothera Biennis Oil,1,1,0,1,1
